id,municipio,microrregiao,mesorregiao,uf_sigla,uf_nome,regiao_sigla,regiao_nome
1100015,Alta Floresta D'Oeste,Cacoal,Leste Rondoniense,RO,Rondônia,N,Norte
1100023,Ariquemes,Ariquemes,Leste Rondoniense,RO,Rondônia,N,Norte
1100031,Cabixi,Colorado do Oeste,Leste Rondoniense,RO,Rondônia,N,Norte
1100049,Cacoal,Cacoal,Leste Rondoniense,RO,Rondônia,N,Norte
1100056,Cerejeiras,Colorado do Oeste,Leste Rondoniense,RO,Rondônia,N,Norte
1100064,Colorado do Oeste,Colorado do Oeste,Leste Rondoniense,RO,Rondônia,N,Norte
1100072,Corumbiara,Colorado do Oeste,Leste Rondoniense,RO,Rondônia,N,Norte
1100080,Costa Marques,Guajará-Mirim,Madeira-Guaporé,RO,Rondônia,N,Norte
1100098,Espigão D'Oeste,Cacoal,Leste Rondoniense,RO,Rondônia,N,Norte
1100106,Guajará-Mirim,Guajará-Mirim,Madeira-Guaporé,RO,Rondônia,N,Norte
1100114,Jaru,Ji-Paraná,Leste Rondoniense,RO,Rondônia,N,Norte
1100122,Ji-Paraná,Ji-Paraná,Leste Rondoniense,RO,Rondônia,N,Norte
1100130,Machadinho D'Oeste,Ariquemes,Leste Rondoniense,RO,Rondônia,N,Norte
1100148,Nova Brasilândia D'Oeste,Alvorada D'Oeste,Leste Rondoniense,RO,Rondônia,N,Norte
1100155,Ouro Preto do Oeste,Ji-Paraná,Leste Rondoniense,RO,Rondônia,N,Norte
1100189,Pimenta Bueno,Vilhena,Leste Rondoniense,RO,Rondônia,N,Norte
1100205,Porto Velho,Porto Velho,Madeira-Guaporé,RO,Rondônia,N,Norte
1100254,Presidente Médici,Ji-Paraná,Leste Rondoniense,RO,Rondônia,N,Norte
1100262,Rio Crespo,Ariquemes,Leste Rondoniense,RO,Rondônia,N,Norte
1100288,Rolim de Moura,Cacoal,Leste Rondoniense,RO,Rondônia,N,Norte
1100296,Santa Luzia D'Oeste,Cacoal,Leste Rondoniense,RO,Rondônia,N,Norte
1100304,Vilhena,Vilhena,Leste Rondoniense,RO,Rondônia,N,Norte
