cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod,cep,bairro,ddd_1,telefone_1
59.160.166/0001-18,1,,02,20250129,5912099,CE,1389,60140120,ALDEOTA,85,88717829
59.160.177/0001-06,1,,02,20250129,1622699,MG,5241,38800000,JARDIM SOL NASCENTE,37,34262407
53.359.906/0001-63,1,L.P. SOLUTION,02,20240103,8129000,BA,3661,45201347,CANSANCAO,11,47024214
59.160.197/0001-79,1,,02,20250129,4781400,PB,2175,58304122,POPULAR,83,86770191
55.371.630/0001-64,1,,08,20240603,4541206,PB,2079,58280000,GURGURI,83,91789753
54.785.741/0003-16,2,,02,20250129,5611203,RJ,6001,21061240,RAMOS,21,69644681
59.160.225/0001-58,1,D2TECH,08,20250129,8599603,SP,7107,01311914,BELA VISTA,16,82010240
59.160.237/0001-82,1,,02,20250129,7319099,SP,6951,17190134,JARDIM PRIMAVERA,14,99695488
59.160.249/0001-07,1,MARINA MOLINARI ODONTOLOGIA INTEGRADA,02,20250129,8630504,PR,7735,84130000,CENTRO,42,98048109
59.160.262/0001-66,1,,02,20250129,4321500,GO,9361,73808080,PARQUE DA COLINA I,61,99737040
59.160.271/0001-57,1,,02,20250129,4399103,MT,1080,78335000,CENTRO,66,99244229
59.160.282/0001-37,1,,08,20250129,8599699,SP,6249,18618016,JARDIM NOSSA SENHORA DAS GRACAS (RUBIAO JUNIOR),14,38138103
59.160.293/0001-17,1,,02,20250129,5620104,RS,8683,94010170,CENTRO,51,30300006
59.160.302/0001-70,1,,02,20250129,4723700,RJ,5847,27937310,RIVIERA FLUMINENSE,22,98818993
59.160.313/0001-50,1,,02,20250129,4330404,SP,7107,02952165,JARDIM PAQUETA (ZONA NORTE),11,70358741
59.160.326/0001-29,1,,02,20250129,5320202,RJ,6001,20561000,GRAJAU,21,94068353
59.160.337/0001-09,1,,02,20250129,4781400,SP,6363,14140000,FAZENDA SANTA MARIA,16,32091060
59.160.345/0001-55,1,,08,20250129,1094500,RO,0003,76820096,NOVA PORTO VELHO,69,93725591
59.160.359/0001-79,1,LRM APOIO ADMINISTRATIVO,02,20250129,8211300,BA,3807,45810000,JOSE FONTANA I - SEDE,73,32882310
59.160.369/0001-04,1,RAPSI JORDAN PSICOLOGIA E PSICOMOTRICIDADE,02,20250129,8650003,SP,7107,03276000,CHACARA BELENZINHO,11,70862112
59.160.380/0001-74,1,TIGER PROMOCAO DE VENDAS,02,20250129,7319002,SP,7107,03401001,VILA CARRAO,11,73330253
59.160.392/0001-07,1,NAPAR,02,20250129,8650003,MG,5191,37536094,CENTRO,35,88356588
