l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1,15519,785,1,17.00,24386.67,0.04,0.02,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON,TRUCK,to beans x-ray carefull
1,6731,732,2,36.00,58958.28,0.09,0.06,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN,MAIL, according to the final foxes. qui
1,6370,371,3,8.00,10210.96,0.10,0.02,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN,REG AIR,ourts cajole above the furiou
1,214,465,4,28.00,31197.88,0.09,0.06,N,O,1996-04-21,1996-03-30,1996-05-16,NONE,AIR,s cajole busily above t
1,2403,160,5,24.00,31329.60,0.10,0.04,N,O,1996-03-30,1996-03-14,1996-04-01,NONE,FOB," the regular, regular pa"
1,1564,67,6,32.00,46897.92,0.07,0.02,N,O,1996-01-30,1996-02-07,1996-02-03,DELIVER IN PERSON,MAIL,rouches. special 
2,10617,138,1,38.00,58049.18,0.00,0.05,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN,RAIL,re. enticingly regular instruct
3,430,181,1,45.00,59869.35,0.06,0.00,R,F,1994-02-02,1994-01-04,1994-02-23,NONE,AIR,s cajole above the pinto beans. iro
3,1904,658,2,49.00,88489.10,0.10,0.00,R,F,1993-11-09,1993-12-20,1993-11-24,TAKE BACK RETURN,RAIL,ecial pinto beans. sly
3,12845,370,3,27.00,47461.68,0.06,0.07,A,F,1994-01-16,1993-11-22,1994-01-23,DELIVER IN PERSON,SHIP,e carefully fina
3,2938,191,4,2.00,3681.86,0.01,0.06,A,F,1993-12-04,1994-01-07,1994-01-01,NONE,TRUCK,ackages boost across 
3,18310,115,5,28.00,34392.68,0.04,0.00,R,F,1993-12-14,1994-01-10,1994-01-01,TAKE BACK RETURN,FOB,heodolites haggle blit
3,6215,984,6,26.00,29151.46,0.10,0.02,A,F,1993-10-29,1993-12-18,1993-11-04,TAKE BACK RETURN,RAIL,telets x-ray quickly mult
4,8804,579,1,30.00,51384.00,0.03,0.08,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON,REG AIR,s. even ideas are above the accounts. 
5,10857,858,1,15.00,26517.75,0.02,0.04,R,F,1994-10-31,1994-08-31,1994-11-20,NONE,AIR,arefully regular t
5,12393,394,2,26.00,33940.14,0.07,0.08,R,F,1994-10-16,1994-09-25,1994-10-19,NONE,FOB, theodolites. slyly pending dolphins 
5,3754,8,3,50.00,82887.50,0.08,0.03,A,F,1994-08-08,1994-10-13,1994-08-26,DELIVER IN PERSON,AIR,odolites. bold accounts alo
6,13964,228,1,37.00,69484.52,0.08,0.03,A,F,1992-04-27,1992-05-15,1992-05-02,TAKE BACK RETURN,TRUCK,ly silent ideas! carefull
7,18206,11,1,12.00,13490.40,0.07,0.03,N,O,1996-05-07,1996-03-13,1996-06-03,TAKE BACK RETURN,FOB,"bout the silent, ironic sentim"
7,14525,790,2,9.00,12955.68,0.08,0.08,N,O,1996-02-01,1996-03-02,1996-02-19,TAKE BACK RETURN,SHIP,ic packages slee
7,9478,997,3,46.00,63823.62,0.10,0.07,N,O,1996-01-15,1996-03-27,1996-02-03,COLLECT COD,MAIL,accounts. reque
