age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
17,Private,150471,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
17,Private,507492,11th,7,Never-married,Sales,Own-child,White,Female,0,0,15,Guatemala,<=50K
17,Private,124661,11th,7,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
17,,40299,10th,6,Never-married,,Not-in-family,White,Female,0,0,30,United-States,<=50K
17,Private,263746,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,<=50K
17,Private,297246,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,9,United-States,<=50K
17,Private,127366,11th,7,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,<=50K
17,Private,152696,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
17,Private,113301,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,,<=50K
17,Private,116626,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,1719,18,United-States,<=50K
18,Private,179020,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,48,United-States,<=50K
18,Private,262118,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,22,Germany,<=50K
18,Private,182701,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,12,Mexico,<=50K
18,Private,184101,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,6,United-States,<=50K
18,Private,263024,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
18,Private,120029,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,20,United-States,<=50K
18,Private,401051,10th,6,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
18,,343161,11th,7,Never-married,,Own-child,White,Male,0,0,16,United-States,<=50K
18,Private,400616,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
18,Private,60981,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
18,Private,192485,12th,8,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,20,United-States,<=50K
18,Private,165532,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K
19,Private,96866,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States,<=50K
19,Private,205953,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,20,United-States,<=50K
19,Private,66619,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,37,United-States,<=50K
19,Private,118306,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
19,,372665,Some-college,10,Never-married,,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,311293,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,25,United-States,<=50K
19,Private,105460,9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K
19,,117201,HS-grad,9,Never-married,,Own-child,White,Male,0,0,30,United-States,<=50K
19,Private,171306,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,3,United-States,<=50K
19,,217769,Some-college,10,Never-married,,Own-child,White,Female,594,0,10,United-States,<=50K
19,Private,304643,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
19,Private,205829,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
19,Private,307496,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,<=50K
19,Private,607799,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,60,United-States,<=50K
19,Private,552354,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,323810,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,Private,238474,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,25,United-States,<=50K
19,Private,220101,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,Local-gov,243960,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,16,United-States,<=50K
20,Private,233198,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
20,,216672,Some-college,10,Never-married,,Own-child,White,Male,0,0,30,United-States,<=50K
20,Private,333838,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,35,United-States,<=50K
20,,190290,Some-college,10,Never-married,,Own-child,White,Male,0,0,35,United-States,<=50K
20,Federal-gov,26585,HS-grad,9,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,25,United-States,<=50K
20,Private,239577,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
20,Private,214238,11th,7,Never-married,Sales,Other-relative,White,Female,0,0,32,Mexico,<=50K
20,Private,130959,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
20,Private,233624,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
20,Local-gov,243178,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
20,Private,296618,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
20,,43587,HS-grad,9,Married-spouse-absent,,Not-in-family,White,Female,0,0,35,United-States,<=50K
20,Private,131852,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
20,Private,117767,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,United-States,<=50K
20,Private,153583,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,,<=50K
20,Private,155775,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-States,<=50K
21,Private,542610,HS-grad,9,Never-married,Transport-moving,Other-relative,Black,Male,0,0,40,United-States,<=50K
21,Private,216867,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,37514,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,<=50K
21,,231286,Some-college,10,Never-married,,Own-child,Black,Male,0,0,25,Jamaica,<=50K
21,Private,100345,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,315470,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
21,Private,60552,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
21,Private,321369,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
21,Local-gov,596776,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,Guatemala,<=50K
21,Private,177125,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,20,United-States,<=50K
21,Private,191243,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,121023,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,9,United-States,<=50K
21,Private,117210,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,<=50K
21,Private,197182,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,219086,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K
21,Private,47541,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K
21,Private,25265,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,203894,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
21,Private,143604,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,29,,<=50K
21,Private,119156,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,236427,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
22,Private,248446,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,50,Guatemala,<=50K
22,Private,212803,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,198956,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Other,Male,0,0,35,United-States,<=50K
22,Private,191789,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
22,Private,225531,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,2205,40,United-States,<=50K
22,Private,372898,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
22,Private,157783,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,35,Vietnam,<=50K
22,Private,269623,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
22,State-gov,22966,Some-college,10,Married-spouse-absent,Tech-support,Unmarried,White,Male,0,0,20,United-States,<=50K
22,Private,445758,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Mexico,<=50K
22,Private,122272,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
22,Private,151105,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,18,United-States,<=50K
22,Private,152878,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,269474,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,10,United-States,<=50K
22,Private,154422,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,0,0,30,Philippines,<=50K
22,Federal-gov,209131,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
22,Private,356567,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,60,United-States,<=50K
22,Local-gov,211129,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,,<=50K
22,Private,46645,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,9,United-States,<=50K
22,Private,167787,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,198244,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,<=50K
22,Private,264874,Some-college,10,Never-married,Tech-support,Other-relative,White,Female,0,0,40,United-States,<=50K
22,Private,99829,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,<=50K
22,Private,186573,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,46,United-States,<=50K
22,Private,232985,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,20,United-States,<=50K
22,Private,388247,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,32732,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Self-emp-not-inc,121568,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,1504,40,United-States,<=50K
23,Private,247090,9th,5,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,55,United-States,<=50K
23,Private,198368,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,437940,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23,,38455,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,11,United-States,<=50K
23,,214542,Bachelors,13,Never-married,,Own-child,White,Male,0,0,42,United-States,<=50K
23,Private,86939,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Private,162282,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,25,United-States,<=50K
23,Private,197387,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50K
23,Private,205865,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,28,United-States,<=50K
23,Private,161708,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
23,,196816,HS-grad,9,Never-married,,Not-in-family,White,Male,0,0,30,United-States,<=50K
23,Private,257621,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
23,Self-emp-not-inc,258298,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,2231,40,United-States,>50K
23,Private,102729,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
23,Private,528616,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
23,Private,148315,Some-college,10,Separated,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,268145,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
23,Private,117583,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,287681,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Columbia,<=50K
23,Private,177526,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,161708,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
23,Private,150463,HS-grad,9,Never-married,Priv-house-serv,Unmarried,Other,Female,0,0,40,Guatemala,<=50K
23,Private,187513,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,32,United-States,<=50K
23,Private,72887,HS-grad,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,1,Vietnam,<=50K
23,Private,99543,12th,8,Never-married,Transport-moving,Not-in-family,White,Male,0,0,46,United-States,<=50K
23,Private,109307,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,194723,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,38238,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,335570,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
23,Private,76432,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,111450,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,22,United-States,<=50K
23,Private,141272,Bachelors,13,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
23,Private,347292,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,91733,Bachelors,13,Never-married,Tech-support,Own-child,White,Female,3325,0,40,United-States,<=50K
23,Private,55215,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,55,United-States,<=50K
23,Private,436798,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,265077,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Private,206827,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
24,Private,190293,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Local-gov,174413,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1974,40,United-States,<=50K
24,Private,161092,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,Private,197200,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,44,United-States,<=50K
24,Self-emp-not-inc,151818,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
24,State-gov,161783,Bachelors,13,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,,<=50K
24,Private,137591,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1762,40,United-States,<=50K
24,Private,124971,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K
24,State-gov,165201,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,45,United-States,<=50K
24,Private,190143,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,258120,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,55,Jamaica,<=50K
24,Private,180060,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,2354,0,40,United-States,<=50K
24,Federal-gov,29591,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,40,United-States,<=50K
24,Private,47791,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,32,United-States,<=50K
24,Self-emp-not-inc,172047,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
24,Private,698418,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,<=50K
24,Private,216181,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
