id,status,categoria,cidade,valor,qtd,ativo
1,pago,A,BH,252.2,3,True
2,pago,D,SP,39.47,4,True
3,pago,B,REC,424.91,8,False
4,pago,B,POA,346.51,3,True
5,cancelado,A,SP,385.75,6,False
6,cancelado,A,POA,540.33,7,True
7,cancelado,C,REC,200.17,2,True
8,pendente,C,SP,855.91,2,False
9,cancelado,D,BH,170.86,6,True
10,cancelado,A,REC,637.99,9,True
11,pendente,D,POA,276.98,9,True
12,cancelado,A,RJ,822.76,6,False
13,cancelado,A,RJ,913.09,10,False
14,pendente,D,POA,884.95,8,True
15,cancelado,B,RJ,746.79,9,False
16,ok,D,BH,226.91,3,False
17,pago,A,SP,161.16,3,False
18,pago,D,POA,599.33,8,False
19,pago,A,REC,752.62,6,True
20,cancelado,D,RJ,458.73,5,True
21,pago,C,REC,612.27,3,False
22,pendente,A,REC,330.59,1,True
23,cancelado,C,RJ,67.29,10,True
24,pago,D,SP,977.23,9,True
25,pendente,D,REC,173.31,9,False
26,pendente,B,BH,404.6,6,False
27,ok,A,RJ,232.23,6,True
28,pendente,B,SP,80.21,1,True
29,pago,A,BH,80.08,4,False
30,ok,B,REC,140.86,10,False
31,pendente,D,POA,198.32,2,False
32,cancelado,D,POA,471.89,1,True
33,pago,D,BH,801.79,2,True
34,pendente,B,REC,453.68,7,True
35,cancelado,D,RJ,874.87,2,False
36,pago,A,REC,836.83,2,True
37,pendente,D,POA,486.06,7,True
38,pendente,D,SP,984.47,5,False
39,cancelado,D,REC,664.59,8,True
40,pendente,C,RJ,968.05,10,True
41,cancelado,A,SP,587.75,9,True
42,pago,A,RJ,77.77,2,True
43,ok,A,REC,253.51,10,True
44,pago,D,REC,569.01,6,False
45,pendente,C,RJ,272.69,3,False
46,ok,C,SP,19.21,10,True
47,pago,B,REC,272.28,6,True
48,pendente,C,BH,166.01,9,False
49,pago,C,SP,938.6,3,False
50,pago,A,REC,163.74,5,True
51,cancelado,B,BH,509.85,5,True
52,pago,D,BH,53.6,6,True
53,cancelado,B,POA,555.61,7,True
54,pago,A,RJ,549.59,6,True
55,ok,B,SP,314.87,1,False
56,pendente,B,SP,359.79,9,False
57,pendente,B,RJ,975.47,3,False
58,pago,B,BH,783.78,7,True
59,cancelado,B,SP,388.33,1,False
60,pendente,B,POA,355.81,4,True
61,pago,B,POA,334.65,2,False
62,cancelado,D,REC,337.51,1,True
63,cancelado,B,REC,961.95,5,True
64,pago,D,BH,730.53,6,False
65,pago,D,REC,197.99,1,False
66,pago,B,BH,436.55,6,False
67,pago,C,REC,315.88,7,False
68,ok,C,REC,135.89,7,False
69,pendente,C,POA,551.91,1,False
70,cancelado,B,POA,787.12,10,False
71,ok,D,POA,678.2,9,False
72,pendente,A,BH,519.78,10,False
73,pago,B,BH,232.17,4,True
74,pago,A,RJ,983.11,10,True
75,ok,D,REC,202.3,7,False
76,ok,B,RJ,658.84,1,True
77,ok,B,RJ,805.26,9,False
78,pago,B,SP,461.44,8,False
79,ok,D,REC,451.01,3,False
80,ok,C,RJ,840.62,5,False
81,pendente,C,POA,86.63,5,True
82,cancelado,C,BH,893.2,2,True
83,pendente,B,POA,696.32,4,True
84,ok,D,BH,546.64,7,True
85,pendente,D,POA,904.89,10,True
86,ok,D,SP,942.37,5,False
87,ok,B,POA,227.01,7,False
88,pago,D,BH,671.52,7,True
89,ok,B,REC,538.25,7,True
90,pago,D,RJ,867.32,3,True
91,cancelado,D,BH,219.33,6,False
92,ok,C,POA,259.5,2,False
93,pago,A,BH,231.76,2,True
94,pago,B,RJ,840.0,10,True
95,pendente,B,POA,672.09,10,True
96,ok,C,BH,175.94,10,True
97,pendente,C,SP,582.32,5,False
98,ok,B,SP,595.58,4,True
99,cancelado,A,REC,784.03,6,False
100,cancelado,A,REC,650.42,1,False
101,ok,A,POA,960.22,8,True
102,ok,B,REC,964.85,5,False
103,ok,D,REC,275.44,4,True
104,cancelado,D,RJ,752.22,10,False
105,cancelado,A,POA,851.59,3,False
106,pendente,C,BH,346.6,10,False
107,pago,B,SP,248.7,7,False
108,pendente,D,POA,453.24,1,True
109,cancelado,B,POA,694.18,5,False
110,ok,C,POA,995.67,9,False
111,cancelado,D,BH,313.25,4,True
112,pendente,C,SP,744.71,3,True
113,pendente,D,BH,726.61,9,False
114,pago,B,BH,234.98,3,False
115,pago,B,BH,55.02,1,False
116,pendente,D,SP,873.12,10,False
117,ok,D,POA,346.96,1,False
118,ok,A,SP,406.3,2,True
119,pendente,B,REC,948.69,2,True
120,pago,D,REC,599.57,10,True
121,ok,D,POA,304.08,10,False
122,cancelado,A,REC,959.55,2,True
123,pendente,C,SP,165.33,3,True
124,pendente,A,POA,455.55,10,False
125,cancelado,A,RJ,294.94,5,False
126,pago,B,BH,789.16,10,True
127,ok,A,REC,232.34,3,False
128,pendente,A,SP,174.1,5,False
129,ok,A,POA,691.1,7,False
130,ok,D,SP,601.46,7,False
131,cancelado,A,SP,236.41,10,True
132,cancelado,A,RJ,475.33,8,False
133,pendente,D,POA,968.4,8,False
134,ok,C,BH,672.76,3,False
135,ok,D,BH,665.3,7,True
136,ok,A,BH,259.62,2,False
137,pago,D,POA,63.61,9,False
138,ok,D,SP,211.32,9,True
139,cancelado,D,POA,130.09,10,True
140,pendente,C,REC,23.52,7,True
141,pendente,A,POA,946.64,3,False
142,cancelado,C,POA,835.54,8,True
143,ok,B,POA,198.51,10,True
144,pago,C,POA,346.14,9,False
145,pago,C,BH,838.26,10,False
146,pendente,D,REC,489.01,6,False
147,ok,C,RJ,979.99,4,False
148,pendente,D,SP,324.68,8,False
149,ok,B,POA,964.21,3,False
150,pago,D,SP,530.17,8,True
151,pendente,D,RJ,84.01,5,False
152,ok,A,BH,852.97,9,False
153,cancelado,D,REC,45.5,2,True
154,cancelado,B,SP,439.2,2,True
155,ok,B,BH,903.49,1,False
156,pago,C,BH,380.72,3,True
157,ok,B,RJ,183.14,10,False
158,pendente,D,REC,151.54,8,False
159,ok,C,SP,899.02,8,False
160,pendente,A,POA,944.84,10,False
161,ok,C,POA,846.01,4,False
162,ok,A,RJ,387.17,6,False
163,cancelado,A,POA,281.46,10,True
164,ok,C,RJ,610.39,6,True
165,pendente,C,RJ,631.34,1,False
166,ok,A,REC,370.85,3,True
167,cancelado,C,POA,183.71,3,False
168,cancelado,B,BH,913.99,8,False
169,cancelado,A,POA,962.3,3,True
170,ok,C,SP,791.98,1,False
171,pago,D,BH,675.43,5,False
172,cancelado,A,RJ,476.29,10,False
173,pendente,A,POA,909.38,5,False
174,pago,B,SP,945.85,5,False
175,pago,A,RJ,887.5,3,False
176,ok,C,REC,424.52,3,False
177,pago,D,REC,413.63,5,True
178,cancelado,B,POA,449.8,4,False
179,pago,C,REC,901.78,6,True
180,ok,C,RJ,967.56,8,True
181,pendente,A,SP,788.14,4,True
182,pendente,A,REC,214.88,4,True
183,cancelado,B,REC,12.8,3,True
184,cancelado,B,SP,663.79,1,True
185,pago,C,RJ,592.38,1,True
186,cancelado,A,RJ,743.56,9,True
187,pago,D,POA,779.46,9,True
188,ok,B,REC,52.89,9,False
189,ok,A,SP,997.6,7,False
190,pago,D,POA,82.68,2,False
191,pendente,A,RJ,281.99,10,False
192,ok,C,POA,509.99,7,True
193,pago,B,POA,456.59,4,False
194,cancelado,D,POA,421.41,2,False
