pedido_id,cliente_id,cliente_nome,produto_id,produto_nome,qtd,valor_unit,status
1,10,Cliente_046,1,Prod-010,4,480.79,pendente
2,29,Cliente_047,9,Prod-004,2,57.85,pago
3,2,Cliente_048,20,Prod-019,3,304.77,cancelado
4,15,Cliente_038,8,Prod-007,1,182.83,cancelado
5,50,Cliente_030,5,Prod-016,5,237.04,cancelado
6,24,Cliente_011,13,Prod-015,4,73.07,pago
7,15,Cliente_002,14,Prod-000,3,475.35,pago
8,48,Cliente_042,7,Prod-006,1,92.65,pendente
9,40,Cliente_031,11,Prod-014,2,216.64,pago
10,39,Cliente_047,13,Prod-010,4,307.69,cancelado
11,37,Cliente_038,18,Prod-016,1,262.72,pendente
12,30,Cliente_002,8,Prod-016,5,200.83,cancelado
13,3,Cliente_035,13,Prod-016,1,98.98,pendente
14,26,Cliente_019,10,Prod-014,2,214.12,cancelado
15,4,Cliente_044,17,Prod-004,4,415.8,pendente
16,6,Cliente_046,17,Prod-003,2,390.47,cancelado
17,35,Cliente_008,13,Prod-013,3,228.19,pago
18,30,Cliente_037,7,Prod-014,1,128.79,cancelado
19,42,Cliente_045,6,Prod-003,1,61.51,pendente
20,41,Cliente_023,3,Prod-016,4,364.8,cancelado
21,40,Cliente_010,13,Prod-017,4,26.73,pago
22,22,Cliente_036,5,Prod-005,2,93.54,cancelado
23,4,Cliente_026,10,Prod-009,4,147.95,pago
24,8,Cliente_008,7,Prod-000,5,383.87,pago
25,30,Cliente_031,16,Prod-017,1,305.95,pendente
26,16,Cliente_013,19,Prod-015,4,208.02,pago
27,39,Cliente_038,1,Prod-007,5,142.67,cancelado
28,36,Cliente_013,2,Prod-005,2,32.26,pendente
29,3,Cliente_009,2,Prod-018,5,152.73,pago
30,4,Cliente_006,14,Prod-005,2,337.68,cancelado
31,43,Cliente_044,20,Prod-018,5,92.82,pendente
32,48,Cliente_037,12,Prod-001,1,385.41,pendente
33,24,Cliente_024,3,Prod-013,5,37.14,pendente
34,9,Cliente_007,9,Prod-010,5,209.81,pago
35,45,Cliente_013,20,Prod-001,1,287.83,cancelado
36,34,Cliente_005,16,Prod-019,3,216.39,pendente
37,17,Cliente_033,19,Prod-019,3,463.92,cancelado
38,37,Cliente_031,17,Prod-015,4,404.95,cancelado
39,15,Cliente_045,10,Prod-006,1,63.51,pendente
40,41,Cliente_007,7,Prod-019,4,209.95,pendente
41,23,Cliente_035,7,Prod-000,2,346.56,pendente
42,5,Cliente_019,10,Prod-016,5,165.34,pago
43,8,Cliente_043,11,Prod-010,4,363.58,cancelado
44,2,Cliente_011,7,Prod-010,3,461.53,pendente
45,31,Cliente_002,5,Prod-015,2,315.46,cancelado
46,22,Cliente_029,14,Prod-001,5,153.18,cancelado
47,44,Cliente_020,18,Prod-017,1,108.09,cancelado
48,22,Cliente_022,3,Prod-004,3,421.17,pendente
49,25,Cliente_040,18,Prod-005,5,304.82,pago
50,39,Cliente_007,10,Prod-010,1,139.39,pago
51,32,Cliente_015,12,Prod-014,3,111.99,pendente
52,12,Cliente_007,12,Prod-001,2,457.11,pendente
53,33,Cliente_001,16,Prod-016,2,99.15,pendente
54,47,Cliente_033,10,Prod-010,2,385.89,pago
55,34,Cliente_043,5,Prod-006,1,232.39,cancelado
56,34,Cliente_007,1,Prod-009,1,345.09,cancelado
57,6,Cliente_021,15,Prod-001,1,262.69,cancelado
58,48,Cliente_019,1,Prod-018,3,321.23,pago
59,21,Cliente_012,7,Prod-009,3,268.48,pendente
60,43,Cliente_007,9,Prod-004,2,140.45,pago
61,40,Cliente_035,17,Prod-003,2,273.55,cancelado
62,21,Cliente_017,5,Prod-009,5,126.19,pago
63,20,Cliente_039,11,Prod-017,4,30.11,pago
64,31,Cliente_043,2,Prod-003,4,31.63,pendente
65,26,Cliente_011,20,Prod-018,4,310.08,pendente
66,22,Cliente_012,18,Prod-002,4,286.06,pago
67,45,Cliente_029,4,Prod-014,3,343.82,cancelado
68,50,Cliente_029,16,Prod-007,2,76.14,cancelado
69,17,Cliente_023,13,Prod-005,3,395.45,pendente
70,30,Cliente_031,1,Prod-002,4,60.88,pendente
71,30,Cliente_010,10,Prod-011,5,289.47,cancelado
72,7,Cliente_025,4,Prod-010,5,326.48,pendente
73,35,Cliente_029,13,Prod-018,4,123.09,pago
74,36,Cliente_010,16,Prod-012,1,173.65,cancelado
75,38,Cliente_027,14,Prod-018,3,274.54,pago
76,12,Cliente_042,3,Prod-018,4,61.59,cancelado
77,30,Cliente_020,18,Prod-003,4,92.21,pendente
78,5,Cliente_038,4,Prod-019,4,167.07,cancelado
79,43,Cliente_003,3,Prod-006,2,444.19,cancelado
80,1,Cliente_048,5,Prod-004,4,267.97,pendente
81,40,Cliente_036,15,Prod-006,2,342.35,pendente
82,20,Cliente_036,10,Prod-013,3,495.19,cancelado
83,1,Cliente_039,17,Prod-012,2,426.99,pago
84,24,Cliente_035,2,Prod-000,5,411.27,pendente
