id,bool_card2,sex_card2,mktsegment_card5,prioridade_prefixo,education_card16,uf_card27,pais_pareto
1,True,M,MACHINERY,2-HIGH,Assoc-voc,PR,Estados Unidos
2,True,M,FURNITURE,4-NOT SPECIFIED,HS-grad,SP,Brasil
3,True,M,FURNITURE,5-LOW,Bachelors,AC,Brasil
4,False,M,HOUSEHOLD,5-LOW,9th,PI,Brasil
5,True,F,MACHINERY,3-MEDIUM,Doctorate,BA,Mexico
6,False,M,BUILDING,4-NOT SPECIFIED,Masters,AM,Brasil
7,False,M,HOUSEHOLD,5-LOW,Masters,MA,Brasil
8,False,F,FURNITURE,2-HIGH,Some-college,RJ,Brasil
9,True,F,BUILDING,2-HIGH,Masters,MA,Brasil
10,False,F,AUTOMOBILE,3-MEDIUM,Prof-school,BA,Brasil
11,False,M,FURNITURE,2-HIGH,Assoc-voc,SC,Brasil
12,False,F,FURNITURE,2-HIGH,12th,ES,Portugal
13,True,M,BUILDING,3-MEDIUM,7th-8th,PE,Brasil
14,True,F,AUTOMOBILE,4-NOT SPECIFIED,7th-8th,TO,Brasil
15,True,F,AUTOMOBILE,2-HIGH,9th,PB,Brasil
16,False,F,MACHINERY,2-HIGH,Doctorate,RO,Brasil
17,True,M,BUILDING,2-HIGH,11th,PI,Brasil
18,False,M,HOUSEHOLD,4-NOT SPECIFIED,Preschool,RO,Brasil
19,True,M,FURNITURE,3-MEDIUM,12th,RS,Brasil
20,False,M,HOUSEHOLD,1-URGENT,9th,RO,Mexico
21,True,M,MACHINERY,5-LOW,Assoc-acdm,PR,Brasil
22,True,M,FURNITURE,3-MEDIUM,1st-4th,SP,Brasil
23,False,F,AUTOMOBILE,1-URGENT,Assoc-voc,RR,Brasil
24,True,F,BUILDING,5-LOW,Doctorate,PR,Brasil
25,False,M,MACHINERY,5-LOW,5th-6th,BA,Brasil
26,True,F,HOUSEHOLD,3-MEDIUM,Preschool,RO,Brasil
27,True,M,AUTOMOBILE,1-URGENT,12th,SP,Brasil
28,True,M,BUILDING,1-URGENT,HS-grad,CE,Brasil
29,True,F,BUILDING,5-LOW,Assoc-voc,PE,Brasil
30,False,M,FURNITURE,2-HIGH,1st-4th,CE,Brasil
31,False,M,BUILDING,1-URGENT,5th-6th,AM,Brasil
32,False,F,BUILDING,1-URGENT,HS-grad,MA,Estados Unidos
33,False,M,AUTOMOBILE,2-HIGH,Assoc-acdm,AC,Brasil
34,True,F,AUTOMOBILE,3-MEDIUM,Preschool,CE,Brasil
35,False,M,BUILDING,5-LOW,Bachelors,MG,Argentina
36,True,M,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,BA,Brasil
37,True,M,HOUSEHOLD,1-URGENT,7th-8th,PE,Brasil
38,False,F,FURNITURE,4-NOT SPECIFIED,Doctorate,BA,Brasil
39,True,M,FURNITURE,5-LOW,HS-grad,PB,Brasil
40,True,M,FURNITURE,4-NOT SPECIFIED,11th,RJ,Brasil
41,True,M,BUILDING,5-LOW,Some-college,SE,Brasil
42,False,M,FURNITURE,2-HIGH,HS-grad,AP,Brasil
43,False,F,MACHINERY,2-HIGH,12th,CE,Brasil
44,False,M,MACHINERY,4-NOT SPECIFIED,12th,RN,Brasil
45,True,F,FURNITURE,5-LOW,Masters,MG,Brasil
46,True,F,AUTOMOBILE,3-MEDIUM,Some-college,CE,Brasil
47,False,M,HOUSEHOLD,5-LOW,10th,AP,Brasil
48,True,F,BUILDING,2-HIGH,9th,RS,Brasil
49,True,F,MACHINERY,5-LOW,Assoc-acdm,AL,Brasil
50,True,F,FURNITURE,4-NOT SPECIFIED,9th,RJ,Brasil
51,False,F,BUILDING,1-URGENT,12th,RN,Brasil
52,False,M,HOUSEHOLD,5-LOW,5th-6th,AC,Brasil
53,True,M,AUTOMOBILE,5-LOW,HS-grad,ES,Brasil
54,True,F,AUTOMOBILE,1-URGENT,10th,AM,Brasil
55,False,M,AUTOMOBILE,1-URGENT,Prof-school,RN,Brasil
56,False,M,AUTOMOBILE,2-HIGH,11th,PA,Brasil
57,True,F,HOUSEHOLD,2-HIGH,9th,SC,Brasil
58,True,F,BUILDING,4-NOT SPECIFIED,Assoc-voc,BA,Brasil
59,False,F,AUTOMOBILE,2-HIGH,Bachelors,SE,Brasil
60,False,F,MACHINERY,1-URGENT,9th,AM,Brasil
61,False,F,BUILDING,1-URGENT,9th,SC,Brasil
62,False,M,BUILDING,5-LOW,5th-6th,AM,Estados Unidos
63,False,F,FURNITURE,5-LOW,Masters,MA,Brasil
64,True,F,BUILDING,4-NOT SPECIFIED,Bachelors,RO,Brasil
65,True,F,HOUSEHOLD,1-URGENT,12th,AP,Brasil
66,True,F,FURNITURE,3-MEDIUM,5th-6th,DF,Brasil
67,False,M,AUTOMOBILE,4-NOT SPECIFIED,7th-8th,SE,Argentina
68,True,F,HOUSEHOLD,5-LOW,Bachelors,GO,Brasil
