# CNPJ | RT_ALL=True | rt_ok=1000/1000 | mismatched=0
# Fallback counts: {'compressible': 1000}
# Primeiras 15: ' ' = OK, '!' = MISMATCH
  orig='10.433.218/1960-71'  rec='10.433.218/1960-71'
  orig='10.433.218/0133-33'  rec='10.433.218/0133-33'
  orig='10.433.218/8908-73'  rec='10.433.218/8908-73'
  orig='10.433.218/3863-69'  rec='10.433.218/3863-69'
  orig='10.433.218/7940-50'  rec='10.433.218/7940-50'
  orig='10.433.218/2654-99'  rec='10.433.218/2654-99'
  orig='10.433.218/2351-58'  rec='10.433.218/2351-58'
  orig='10.433.218/1615-29'  rec='10.433.218/1615-29'
  orig='10.433.218/5940-42'  rec='10.433.218/5940-42'
  orig='10.433.218/7816-67'  rec='10.433.218/7816-67'
  orig='10.433.218/1849-01'  rec='10.433.218/1849-01'
  orig='10.433.218/5931-51'  rec='10.433.218/5931-51'
  orig='10.433.218/0341-79'  rec='10.433.218/0341-79'
  orig='10.433.218/3164-09'  rec='10.433.218/3164-09'
  orig='10.433.218/7525-60'  rec='10.433.218/7525-60'
