# CNPJ | RT_ALL=True | rt_ok=1000/1000 | mismatched=0
# Fallback counts: {'format_unmasked': 500, 'compressible': 500}
# Primeiras 15: ' ' = OK, '!' = MISMATCH
  orig='63290927914508'  rec='63290927914508'
  orig='78.446.834/1465-91'  rec='78.446.834/1465-91'
  orig='47.321.046/9632-41'  rec='47.321.046/9632-41'
  orig='08751029321851'  rec='08751029321851'
  orig='67.294.667/1168-49'  rec='67.294.667/1168-49'
  orig='66678507208107'  rec='66678507208107'
  orig='73.179.128/6857-26'  rec='73.179.128/6857-26'
  orig='91.124.421/1753-03'  rec='91.124.421/1753-03'
  orig='13075626368998'  rec='13075626368998'
  orig='01.994.883/7550-42'  rec='01.994.883/7550-42'
  orig='86571918261929'  rec='86571918261929'
  orig='40659657569271'  rec='40659657569271'
  orig='23413261117834'  rec='23413261117834'
  orig='83.268.424/5088-98'  rec='83.268.424/5088-98'
  orig='16.658.760/3669-66'  rec='16.658.760/3669-66'
