# CNPJ | RT_ALL=True | rt_ok=1000/1000 | mismatched=0
# Fallback counts: {'compressible': 1000}
# Primeiras 15: ' ' = OK, '!' = MISMATCH
  orig='10.433.218/1960-71'  rec='10.433.218/1960-71'
  orig='01.338.908/3863-48'  rec='01.338.908/3863-48'
  orig='79.402.654/2351-66'  rec='79.402.654/2351-66'
  orig='16.155.940/7816-63'  rec='16.155.940/7816-63'
  orig='18.495.931/0341-59'  rec='18.495.931/0341-59'
  orig='31.647.525/5341-09'  rec='31.647.525/5341-09'
  orig='92.832.764/8350-77'  rec='92.832.764/8350-77'
  orig='30.564.139/5376-02'  rec='30.564.139/5376-02'
  orig='72.423.884/9696-38'  rec='72.423.884/9696-38'
  orig='53.287.101/2269-82'  rec='53.287.101/2269-82'
  orig='16.697.848/0184-41'  rec='16.697.848/0184-41'
  orig='51.462.704/8281-66'  rec='51.462.704/8281-66'
  orig='48.932.528/8095-44'  rec='48.932.528/8095-44'
  orig='70.154.303/9117-67'  rec='70.154.303/9117-67'
  orig='18.227.824/8963-70'  rec='18.227.824/8963-70'
