# Mismatches variante B / D-IP-extra-hostile:
row 1: orig='236.231.019.029' rec='236.231.19.29' status=compressible
row 9: orig='098.115.070.079' rec='98.115.70.79' status=compressible
row 15: orig='052.074.131.101' rec='52.74.131.101' status=compressible
row 20: orig='141.074.066.128' rec='141.74.66.128' status=compressible
row 23: orig='034.046.043.047' rec='34.46.43.47' status=compressible
row 25: orig='173.179.003.092' rec='173.179.3.92' status=compressible
row 27: orig='180.173.089.237' rec='180.173.89.237' status=compressible
row 33: orig='045.223.054.124' rec='45.223.54.124' status=compressible
row 36: orig='014.041.023.135' rec='14.41.23.135' status=compressible
row 39: orig='225.017.186.067' rec='225.17.186.67' status=compressible
row 44: orig='130.191.078.242' rec='130.191.78.242' status=compressible
row 50: orig='089.102.067.187' rec='89.102.67.187' status=compressible
row 54: orig='089.040.195.123' rec='89.40.195.123' status=compressible
row 55: orig='238.176.065.093' rec='238.176.65.93' status=compressible
row 59: orig='044.033.158.203' rec='44.33.158.203' status=compressible
row 60: orig='044.163.177.033' rec='44.163.177.33' status=compressible
row 74: orig='028.180.037.158' rec='28.180.37.158' status=compressible
row 81: orig='188.146.039.046' rec='188.146.39.46' status=compressible
row 88: orig='197.041.191.114' rec='197.41.191.114' status=compressible
row 92: orig='180.112.097.128' rec='180.112.97.128' status=compressible
row 109: orig='022.210.186.121' rec='22.210.186.121' status=compressible
row 112: orig='113.032.237.154' rec='113.32.237.154' status=compressible
row 117: orig='024.169.139.063' rec='24.169.139.63' status=compressible
row 120: orig='168.048.197.145' rec='168.48.197.145' status=compressible
row 121: orig='238.147.080.037' rec='238.147.80.37' status=compressible
row 124: orig='184.188.239.066' rec='184.188.239.66' status=compressible
row 129: orig='173.026.171.033' rec='173.26.171.33' status=compressible
row 134: orig='064.155.047.086' rec='64.155.47.86' status=compressible
row 153: orig='092.109.174.248' rec='92.109.174.248' status=compressible
row 155: orig='089.066.194.117' rec='89.66.194.117' status=compressible
row 160: orig='255.198.060.134' rec='255.198.60.134' status=compressible
row 171: orig='061.003.254.220' rec='61.3.254.220' status=compressible
