# Sub-exp 09 (padded-aware) Variante A | D-IP-subnet
# RT_ALL=True | rt_ok=1000/1000 | mismatched=0
# cadence_detected=True | seq_rle_runs=2
# Status counts: {'compressible': 1000}
# Primeiras 15: ' ' = OK, '!' = MISMATCH
  orig='57.12.140.0'  rec='57.12.140.0'
  orig='57.12.140.1'  rec='57.12.140.1'
  orig='57.12.140.2'  rec='57.12.140.2'
  orig='57.12.140.3'  rec='57.12.140.3'
  orig='57.12.140.4'  rec='57.12.140.4'
  orig='57.12.140.5'  rec='57.12.140.5'
  orig='57.12.140.6'  rec='57.12.140.6'
  orig='57.12.140.7'  rec='57.12.140.7'
  orig='57.12.140.8'  rec='57.12.140.8'
  orig='57.12.140.9'  rec='57.12.140.9'
  orig='57.12.140.10'  rec='57.12.140.10'
  orig='57.12.140.11'  rec='57.12.140.11'
  orig='57.12.140.12'  rec='57.12.140.12'
  orig='57.12.140.13'  rec='57.12.140.13'
  orig='57.12.140.14'  rec='57.12.140.14'
