# F3 por coluna — bN-w<=4 (min com produção) por fonte

| fonte | coluna | k | modo-prod | prod B | bN B | w | F3 vence? |
|---|---|---|---|---|---|---|---|
| adult | age | 73 | v2b | 20352 | - | 8 | nao |
| adult | workclass | 9 | v2b | 20092 | 10092 | 4 | SIM |
| adult | fnlwgt | 15068 | raw | 136462 | - | - | nao |
| adult | education | 16 | v2b | 20141 | 10141 | 4 | SIM |
| adult | education-num | 16 | v2b | 20066 | 10066 | 4 | SIM |
| adult | marital-status | 7 | v2b | 20085 | 10085 | 4 | SIM |
| adult | occupation | 15 | v2b | 20207 | 10207 | 4 | SIM |
| adult | relationship | 6 | v2b | 20065 | 10065 | 4 | SIM |
| adult | race | 5 | v2b | 20059 | 10059 | 4 | SIM |
| adult | sex | 2 | v2b | 20014 | 2514 | 1 | SIM |
| adult | capital-gain | 117 | tcf | 15526 | - | 8 | nao |
| adult | capital-loss | 85 | tcf | 9676 | - | 8 | nao |
| adult | hours-per-week | 89 | v2b | 20419 | - | 8 | nao |
| adult | native-country | 41 | tcf | 18476 | - | 8 | nao |
| adult | class | 2 | v2b | 20014 | 2514 | 1 | SIM |
| tpch.lineitem | l_orderkey | 4987 | tcf | 42392 | - | - | nao |
| tpch.lineitem | l_partkey | 2000 | v2b | 51662 | - | - | nao |
| tpch.lineitem | l_suppkey | 100 | v2b | 40475 | - | 8 | nao |
| tpch.lineitem | l_linenumber | 7 | v2b | 20010 | 10010 | 4 | SIM |
| tpch.lineitem | l_quantity | 50 | split | 20267 | - | 8 | nao |
| tpch.lineitem | l_extendedprice | 16650 | split | 157662 | - | - | nao |
| tpch.lineitem | l_discount | 11 | v2b | 20080 | 10080 | 4 | SIM |
| tpch.lineitem | l_tax | 9 | v2b | 20045 | 10045 | 4 | SIM |
| tpch.lineitem | l_returnflag | 3 | v2b | 20008 | 5008 | 2 | SIM |
| tpch.lineitem | l_linestatus | 2 | tcf | 16008 | 2506 | 1 | SIM |
| tpch.lineitem | l_shipdate | 2505 | split | 60281 | - | - | nao |
| tpch.lineitem | l_commitdate | 2455 | split | 60295 | - | - | nao |
| tpch.lineitem | l_receiptdate | 2509 | split | 60281 | - | - | nao |
| tpch.lineitem | l_shipinstruct | 4 | v2b | 20055 | 5055 | 2 | SIM |
| tpch.lineitem | l_shipmode | 7 | v2b | 20038 | 10038 | 4 | SIM |
