gramatica,tipo,nature,nome,status,regra,header,bytes,recupera,colisao
G1-slot-unico,,,ausente,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,simples,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,vazio,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,com-dois-pontos,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,com-espaco,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,com-backslash,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,com-lf,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,igual-M,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,igual-H,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,igual-tag-tipo,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,,igual-id-nature,N/A,G1 exige um id no slot,,0,,
G1-slot-unico,,cpf,ausente,fail,,#TCF.8 :cpf,11,AMBIGUO(slot unico),
G1-slot-unico,,cpf,simples,fail,,#TCF.8 idade:cpf,16,AMBIGUO(slot unico),
G1-slot-unico,,cpf,vazio,fail,,#TCF.8 :cpf,11,AMBIGUO(slot unico),
G1-slot-unico,,cpf,com-dois-pontos,fail,,#TCF.8 a\:b:cpf,15,AMBIGUO(slot unico),
G1-slot-unico,,cpf,com-espaco,fail,,#TCF.8 a b:cpf,14,AMBIGUO(slot unico),
G1-slot-unico,,cpf,com-backslash,fail,,#TCF.8 a\\b:cpf,15,AMBIGUO(slot unico),
G1-slot-unico,,cpf,com-lf,fail,,#TCF.8 a\nb:cpf,15,AMBIGUO(slot unico),
G1-slot-unico,,cpf,igual-M,fail,,#TCF.8 M:cpf,12,AMBIGUO(slot unico),
G1-slot-unico,,cpf,igual-H,fail,,#TCF.8 H:cpf,12,AMBIGUO(slot unico),
G1-slot-unico,,cpf,igual-tag-tipo,fail,,#TCF.8 b:cpf,12,AMBIGUO(slot unico),
G1-slot-unico,,cpf,igual-id-nature,fail,,#TCF.8 cpf:cpf,14,AMBIGUO(slot unico),
G1-slot-unico,b,,ausente,fail,,#TCF.8 :b,9,AMBIGUO(slot unico),
G1-slot-unico,b,,simples,fail,,#TCF.8 idade:b,14,AMBIGUO(slot unico),
G1-slot-unico,b,,vazio,fail,,#TCF.8 :b,9,AMBIGUO(slot unico),
G1-slot-unico,b,,com-dois-pontos,fail,,#TCF.8 a\:b:b,13,AMBIGUO(slot unico),
G1-slot-unico,b,,com-espaco,fail,,#TCF.8 a b:b,12,AMBIGUO(slot unico),
G1-slot-unico,b,,com-backslash,fail,,#TCF.8 a\\b:b,13,AMBIGUO(slot unico),
G1-slot-unico,b,,com-lf,fail,,#TCF.8 a\nb:b,13,AMBIGUO(slot unico),
G1-slot-unico,b,,igual-M,fail,,#TCF.8 M:b,10,AMBIGUO(slot unico),
G1-slot-unico,b,,igual-H,fail,,#TCF.8 H:b,10,AMBIGUO(slot unico),
G1-slot-unico,b,,igual-tag-tipo,fail,,#TCF.8 b:b,10,AMBIGUO(slot unico),
G1-slot-unico,b,,igual-id-nature,fail,,#TCF.8 cpf:b,12,AMBIGUO(slot unico),
G1-slot-unico,b,cpf,ausente,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,simples,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,vazio,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,com-dois-pontos,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,com-espaco,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,com-backslash,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,com-lf,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,igual-M,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,igual-H,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,igual-tag-tipo,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,b,cpf,igual-id-nature,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,,ausente,fail,,#TCF.8 :n,9,AMBIGUO(slot unico),
G1-slot-unico,n,,simples,fail,,#TCF.8 idade:n,14,AMBIGUO(slot unico),
G1-slot-unico,n,,vazio,fail,,#TCF.8 :n,9,AMBIGUO(slot unico),
G1-slot-unico,n,,com-dois-pontos,fail,,#TCF.8 a\:b:n,13,AMBIGUO(slot unico),
G1-slot-unico,n,,com-espaco,fail,,#TCF.8 a b:n,12,AMBIGUO(slot unico),
G1-slot-unico,n,,com-backslash,fail,,#TCF.8 a\\b:n,13,AMBIGUO(slot unico),
G1-slot-unico,n,,com-lf,fail,,#TCF.8 a\nb:n,13,AMBIGUO(slot unico),
G1-slot-unico,n,,igual-M,fail,,#TCF.8 M:n,10,AMBIGUO(slot unico),
G1-slot-unico,n,,igual-H,fail,,#TCF.8 H:n,10,AMBIGUO(slot unico),
G1-slot-unico,n,,igual-tag-tipo,fail,,#TCF.8 b:n,10,AMBIGUO(slot unico),
G1-slot-unico,n,,igual-id-nature,fail,,#TCF.8 cpf:n,12,AMBIGUO(slot unico),
G1-slot-unico,n,cpf,ausente,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,simples,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,vazio,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,com-dois-pontos,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,com-espaco,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,com-backslash,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,com-lf,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,igual-M,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,igual-H,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,igual-tag-tipo,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,n,cpf,igual-id-nature,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,,ausente,fail,,#TCF.8 :M,9,AMBIGUO(slot unico),
G1-slot-unico,M,,simples,fail,,#TCF.8 idade:M,14,AMBIGUO(slot unico),
G1-slot-unico,M,,vazio,fail,,#TCF.8 :M,9,AMBIGUO(slot unico),
G1-slot-unico,M,,com-dois-pontos,fail,,#TCF.8 a\:b:M,13,AMBIGUO(slot unico),
G1-slot-unico,M,,com-espaco,fail,,#TCF.8 a b:M,12,AMBIGUO(slot unico),
G1-slot-unico,M,,com-backslash,fail,,#TCF.8 a\\b:M,13,AMBIGUO(slot unico),
G1-slot-unico,M,,com-lf,fail,,#TCF.8 a\nb:M,13,AMBIGUO(slot unico),
G1-slot-unico,M,,igual-M,fail,,#TCF.8 M:M,10,AMBIGUO(slot unico),
G1-slot-unico,M,,igual-H,fail,,#TCF.8 H:M,10,AMBIGUO(slot unico),
G1-slot-unico,M,,igual-tag-tipo,fail,,#TCF.8 b:M,10,AMBIGUO(slot unico),
G1-slot-unico,M,,igual-id-nature,fail,,#TCF.8 cpf:M,12,AMBIGUO(slot unico),
G1-slot-unico,M,cpf,ausente,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,simples,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,vazio,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,com-dois-pontos,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,com-espaco,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,com-backslash,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,com-lf,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,igual-M,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,igual-H,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,igual-tag-tipo,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,M,cpf,igual-id-nature,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,,ausente,fail,,#TCF.8 :H,9,AMBIGUO(slot unico),
G1-slot-unico,H,,simples,fail,,#TCF.8 idade:H,14,AMBIGUO(slot unico),
G1-slot-unico,H,,vazio,fail,,#TCF.8 :H,9,AMBIGUO(slot unico),
G1-slot-unico,H,,com-dois-pontos,fail,,#TCF.8 a\:b:H,13,AMBIGUO(slot unico),
G1-slot-unico,H,,com-espaco,fail,,#TCF.8 a b:H,12,AMBIGUO(slot unico),
G1-slot-unico,H,,com-backslash,fail,,#TCF.8 a\\b:H,13,AMBIGUO(slot unico),
G1-slot-unico,H,,com-lf,fail,,#TCF.8 a\nb:H,13,AMBIGUO(slot unico),
G1-slot-unico,H,,igual-M,fail,,#TCF.8 M:H,10,AMBIGUO(slot unico),
G1-slot-unico,H,,igual-H,fail,,#TCF.8 H:H,10,AMBIGUO(slot unico),
G1-slot-unico,H,,igual-tag-tipo,fail,,#TCF.8 b:H,10,AMBIGUO(slot unico),
G1-slot-unico,H,,igual-id-nature,fail,,#TCF.8 cpf:H,12,AMBIGUO(slot unico),
G1-slot-unico,H,cpf,ausente,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,simples,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,vazio,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,com-dois-pontos,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,com-espaco,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,com-backslash,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,com-lf,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,igual-M,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,igual-H,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,igual-tag-tipo,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G1-slot-unico,H,cpf,igual-id-nature,N/A,G1 tem UM slot: tipo e nature não cabem juntos,,0,,
G2-eixos-separados,,,ausente,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,simples,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,vazio,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,com-dois-pontos,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,com-espaco,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,com-backslash,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,com-lf,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,igual-M,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,igual-H,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,igual-tag-tipo,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,,igual-id-nature,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,ausente,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,simples,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,vazio,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,com-dois-pontos,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,com-espaco,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,com-backslash,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,com-lf,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,igual-M,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,igual-H,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,igual-tag-tipo,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,,cpf,igual-id-nature,N/A,G2 exige tipo no discriminador,,0,,
G2-eixos-separados,b,,ausente,pass,,#TCF.8:b,8,sim,
G2-eixos-separados,b,,simples,pass,,#TCF.8:b idade,14,sim,
G2-eixos-separados,b,,vazio,pass,,#TCF.8:b ,9,sim,
G2-eixos-separados,b,,com-dois-pontos,pass,,#TCF.8:b a\:b,13,sim,
G2-eixos-separados,b,,com-espaco,pass,,#TCF.8:b a b,12,sim,
G2-eixos-separados,b,,com-backslash,pass,,#TCF.8:b a\\b,13,sim,
G2-eixos-separados,b,,com-lf,pass,,#TCF.8:b a\nb,13,sim,
G2-eixos-separados,b,,igual-M,pass,,#TCF.8:b M,10,sim,
G2-eixos-separados,b,,igual-H,pass,,#TCF.8:b H,10,sim,
G2-eixos-separados,b,,igual-tag-tipo,pass,,#TCF.8:b b,10,sim,
G2-eixos-separados,b,,igual-id-nature,pass,,#TCF.8:b cpf,12,sim,
G2-eixos-separados,b,cpf,ausente,pass,,#TCF.8:b :cpf,13,sim,
G2-eixos-separados,b,cpf,simples,pass,,#TCF.8:b idade:cpf,18,sim,
G2-eixos-separados,b,cpf,vazio,pass,,#TCF.8:b :cpf,13,sim,
G2-eixos-separados,b,cpf,com-dois-pontos,pass,,#TCF.8:b a\:b:cpf,17,sim,
G2-eixos-separados,b,cpf,com-espaco,pass,,#TCF.8:b a b:cpf,16,sim,
G2-eixos-separados,b,cpf,com-backslash,pass,,#TCF.8:b a\\b:cpf,17,sim,
G2-eixos-separados,b,cpf,com-lf,pass,,#TCF.8:b a\nb:cpf,17,sim,
G2-eixos-separados,b,cpf,igual-M,pass,,#TCF.8:b M:cpf,14,sim,
G2-eixos-separados,b,cpf,igual-H,pass,,#TCF.8:b H:cpf,14,sim,
G2-eixos-separados,b,cpf,igual-tag-tipo,pass,,#TCF.8:b b:cpf,14,sim,
G2-eixos-separados,b,cpf,igual-id-nature,pass,,#TCF.8:b cpf:cpf,16,sim,
G2-eixos-separados,n,,ausente,pass,,#TCF.8:n,8,sim,
G2-eixos-separados,n,,simples,pass,,#TCF.8:n idade,14,sim,
G2-eixos-separados,n,,vazio,pass,,#TCF.8:n ,9,sim,
G2-eixos-separados,n,,com-dois-pontos,pass,,#TCF.8:n a\:b,13,sim,
G2-eixos-separados,n,,com-espaco,pass,,#TCF.8:n a b,12,sim,
G2-eixos-separados,n,,com-backslash,pass,,#TCF.8:n a\\b,13,sim,
G2-eixos-separados,n,,com-lf,pass,,#TCF.8:n a\nb,13,sim,
G2-eixos-separados,n,,igual-M,pass,,#TCF.8:n M,10,sim,
