sonda,rota,arquivo_sonda,comportamento_atual,detalhe_atual,comportamento_proposto,detalhe_proposto,comportamento_proposto_tam_exato,detalhe_proposto_tam_exato
s01-dollar-inicio,bn-B,bn-B-s01-dollar-inicio.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s01-dollar-inicio,bn-C,bn-C-s01-dollar-inicio.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed"
s01-dollar-inicio,denso-b1,denso-b1-s01-dollar-inicio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s01-dollar-inicio,denso-b2,denso-b2-s01-dollar-inicio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s01-dollar-inicio,lazy-bB,lazy-bB-s01-dollar-inicio.tcf,FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed"
s01-dollar-inicio,ref-silencioso,ref-silencioso-s01-dollar-inicio.tcf,BINASCII CRU,"Error: Incorrect padding",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s02-exclamacao-meio,bn-B,bn-B-s02-exclamacao-meio.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8B: payload bN nao e' base64 canonico: Only base64 data is allowed"
s02-exclamacao-meio,bn-C,bn-C-s02-exclamacao-meio.tcf,BINASCII CRU,"Error: Invalid base64-encoded string: number of data characters (33) cannot be 1 more than a multiple of 4",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8C: payload bN nao e' base64 canonico: Only base64 data is allowed"
s02-exclamacao-meio,denso-b1,denso-b1-s02-exclamacao-meio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
s02-exclamacao-meio,denso-b2,denso-b2-s02-exclamacao-meio.tcf,FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed",FAIL-LOUD TCF,"#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is allowed"
