rota,sonda,arquivo,hoje,proposto,detalhe_hoje
bn-B,s1-char-invalido,bn-B-s1-char-invalido.tcf,BINASCII CRU,FAIL-LOUD TCF,Incorrect padding
bn-C,s1-char-invalido,bn-C-s1-char-invalido.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,dominio bN com 5 valores nao cabe em 2 bits
denso-b1,s1-char-invalido,denso-b1-s1-char-invalido.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s1-char-invalido,denso-b2-s1-char-invalido.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s1-char-invalido,lazy-bB-s1-char-invalido.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed
bn-B,s2-espaco,bn-B-s2-espaco.tcf,BINASCII CRU,FAIL-LOUD TCF,Incorrect padding
bn-C,s2-espaco,bn-C-s2-espaco.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,dominio bN com 5 valores nao cabe em 2 bits
denso-b1,s2-espaco,denso-b1-s2-espaco.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s2-espaco,denso-b2-s2-espaco.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
lazy-bB,s2-espaco,lazy-bB-s2-espaco.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8bB: payload nao e' base64 canonico: Only base64 data is allowed
bn-B,s3-quatro-invalidos,bn-B-s3-quatro-invalidos.tcf,SILENCIOSO-IGUAL,FAIL-LOUD TCF,
bn-C,s3-quatro-invalidos,bn-C-s3-quatro-invalidos.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,dominio bN com 5 valores nao cabe em 2 bits
denso-b1,s3-quatro-invalidos,denso-b1-s3-quatro-invalidos.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
denso-b2,s3-quatro-invalidos,denso-b2-s3-quatro-invalidos.tcf,FAIL-LOUD TCF,FAIL-LOUD TCF,#TCF.8b: payload denso nao e' base64 canonico: Only base64 data is all
