id,iso,br_slash,br_hifen,us_slash,extenso_pt,iso_hora,unix_ts,com_tz
1,2021-04-01,01/04/2021,01-04-2021,04/01/2021,1 de abril de 2021,2021-04-01T00:47:17,1617248837,2021-04-01T00:47:17-03:00
2,2022-09-30,30/09/2022,30-09-2022,09/30/2022,30 de setembro de 2022,2022-09-30T07:08:47,1664532527,2022-09-30T07:08:47-03:00
3,2021-02-23,23/02/2021,23-02-2021,02/23/2021,23 de fevereiro de 2021,2021-02-23T21:47:57,1614127677,2021-02-23T21:47:57-03:00
4,2026-02-11,11/02/2026,11-02-2026,02/11/2026,11 de fevereiro de 2026,2026-02-11T02:37:27,1770788247,2026-02-11T02:37:27-03:00
5,2020-05-10,10/05/2020,10-05-2020,05/10/2020,10 de maio de 2020,2020-05-10T00:05:13,1589079913,2020-05-10T00:05:13-03:00
6,2022-08-10,10/08/2022,10-08-2022,08/10/2022,10 de agosto de 2022,2022-08-10T16:38:01,1660160281,2022-08-10T16:38:01-03:00
7,2026-04-17,17/04/2026,17-04-2026,04/17/2026,17 de abril de 2026,2026-04-17T06:45:41,1776419141,2026-04-17T06:45:41-03:00
8,2026-02-10,10/02/2026,10-02-2026,02/10/2026,10 de fevereiro de 2026,2026-02-10T13:14:28,1770740068,2026-02-10T13:14:28-03:00
9,2026-08-10,10/08/2026,10-08-2026,08/10/2026,10 de agosto de 2026,2026-08-10T08:51:55,1786362715,2026-08-10T08:51:55-03:00
10,2020-01-27,27/01/2020,27-01-2020,01/27/2020,27 de janeiro de 2020,2020-01-27T05:44:27,1580114667,2020-01-27T05:44:27-03:00
11,2023-10-25,25/10/2023,25-10-2023,10/25/2023,25 de outubro de 2023,2023-10-25T08:09:13,1698232153,2023-10-25T08:09:13-03:00
12,2023-10-10,10/10/2023,10-10-2023,10/10/2023,10 de outubro de 2023,2023-10-10T03:05:24,1696917924,2023-10-10T03:05:24-03:00
13,2021-01-31,31/01/2021,31-01-2021,01/31/2021,31 de janeiro de 2021,2021-01-31T11:54:22,1612104862,2021-01-31T11:54:22-03:00
14,2026-10-08,08/10/2026,08-10-2026,10/08/2026,8 de outubro de 2026,2026-10-08T08:51:02,1791460262,2026-10-08T08:51:02-03:00
15,2025-02-24,24/02/2025,24-02-2025,02/24/2025,24 de fevereiro de 2025,2025-02-24T17:07:59,1740427679,2025-02-24T17:07:59-03:00
16,2024-03-30,30/03/2024,30-03-2024,03/30/2024,30 de marco de 2024,2024-03-30T02:35:18,1711776918,2024-03-30T02:35:18-03:00
17,2026-12-08,08/12/2026,08-12-2026,12/08/2026,8 de dezembro de 2026,2026-12-08T11:36:12,1796740572,2026-12-08T11:36:12-03:00
18,2020-10-11,11/10/2020,11-10-2020,10/11/2020,11 de outubro de 2020,2020-10-11T01:42:14,1602391334,2020-10-11T01:42:14-03:00
19,2023-03-31,31/03/2023,31-03-2023,03/31/2023,31 de marco de 2023,2023-03-31T02:54:14,1680242054,2023-03-31T02:54:14-03:00
20,2021-02-17,17/02/2021,17-02-2021,02/17/2021,17 de fevereiro de 2021,2021-02-17T12:17:29,1613575049,2021-02-17T12:17:29-03:00
21,2024-02-03,03/02/2024,03-02-2024,02/03/2024,3 de fevereiro de 2024,2024-02-03T05:23:22,1706948602,2024-02-03T05:23:22-03:00
22,2022-05-08,08/05/2022,08-05-2022,05/08/2022,8 de maio de 2022,2022-05-08T21:17:44,1652055464,2022-05-08T21:17:44-03:00
23,2020-10-19,19/10/2020,19-10-2020,10/19/2020,19 de outubro de 2020,2020-10-19T19:40:10,1603147210,2020-10-19T19:40:10-03:00
24,2025-12-27,27/12/2025,27-12-2025,12/27/2025,27 de dezembro de 2025,2025-12-27T23:15:10,1766888110,2025-12-27T23:15:10-03:00
25,2025-03-08,08/03/2025,08-03-2025,03/08/2025,8 de marco de 2025,2025-03-08T12:17:59,1741447079,2025-03-08T12:17:59-03:00
26,2026-03-31,31/03/2026,31-03-2026,03/31/2026,31 de marco de 2026,2026-03-31T07:43:20,1774953800,2026-03-31T07:43:20-03:00
27,2020-08-17,17/08/2020,17-08-2020,08/17/2020,17 de agosto de 2020,2020-08-17T07:52:02,1597661522,2020-08-17T07:52:02-03:00
28,2023-07-16,16/07/2023,16-07-2023,07/16/2023,16 de julho de 2023,2023-07-16T12:17:04,1689520624,2023-07-16T12:17:04-03:00
29,2022-05-14,14/05/2022,14-05-2022,05/14/2022,14 de maio de 2022,2022-05-14T18:56:45,1652565405,2022-05-14T18:56:45-03:00
30,2023-07-12,12/07/2023,12-07-2023,07/12/2023,12 de julho de 2023,2023-07-12T06:41:31,1689154891,2023-07-12T06:41:31-03:00
31,2024-06-08,08/06/2024,08-06-2024,06/08/2024,8 de junho de 2024,2024-06-08T20:29:09,1717889349,2024-06-08T20:29:09-03:00
32,2022-12-20,20/12/2022,20-12-2022,12/20/2022,20 de dezembro de 2022,2022-12-20T04:15:47,1671520547,2022-12-20T04:15:47-03:00
33,2026-04-18,18/04/2026,18-04-2026,04/18/2026,18 de abril de 2026,2026-04-18T17:16:47,1776543407,2026-04-18T17:16:47-03:00
34,2026-07-22,22/07/2026,22-07-2026,07/22/2026,22 de julho de 2026,2026-07-22T13:57:37,1784739457,2026-07-22T13:57:37-03:00
35,2024-06-23,23/06/2024,23-06-2024,06/23/2024,23 de junho de 2024,2024-06-23T11:14:08,1719152048,2024-06-23T11:14:08-03:00
36,2025-09-18,18/09/2025,18-09-2025,09/18/2025,18 de setembro de 2025,2025-09-18T15:05:48,1758218748,2025-09-18T15:05:48-03:00
37,2020-07-11,11/07/2020,11-07-2020,07/11/2020,11 de julho de 2020,2020-07-11T03:09:40,1594447780,2020-07-11T03:09:40-03:00
38,2021-10-17,17/10/2021,17-10-2021,10/17/2021,17 de outubro de 2021,2021-10-17T21:27:38,1634516858,2021-10-17T21:27:38-03:00
39,2020-09-17,17/09/2020,17-09-2020,09/17/2020,17 de setembro de 2020,2020-09-17T12:24:38,1600356278,2020-09-17T12:24:38-03:00
40,2025-04-01,01/04/2025,01-04-2025,04/01/2025,1 de abril de 2025,2025-04-01T16:16:35,1743534995,2025-04-01T16:16:35-03:00
41,2020-02-17,17/02/2020,17-02-2020,02/17/2020,17 de fevereiro de 2020,2020-02-17T21:46:07,1581986767,2020-02-17T21:46:07-03:00
42,2026-01-08,08/01/2026,08-01-2026,01/08/2026,8 de janeiro de 2026,2026-01-08T08:49:41,1767872981,2026-01-08T08:49:41-03:00
43,2023-10-25,25/10/2023,25-10-2023,10/25/2023,25 de outubro de 2023,2023-10-25T03:18:27,1698214707,2023-10-25T03:18:27-03:00
44,2021-10-09,09/10/2021,09-10-2021,10/09/2021,9 de outubro de 2021,2021-10-09T14:00:46,1633798846,2021-10-09T14:00:46-03:00
45,2022-12-14,14/12/2022,14-12-2022,12/14/2022,14 de dezembro de 2022,2022-12-14T16:48:11,1671047291,2022-12-14T16:48:11-03:00
46,2025-09-10,10/09/2025,10-09-2025,09/10/2025,10 de setembro de 2025,2025-09-10T03:55:40,1757487340,2025-09-10T03:55:40-03:00
47,2023-05-07,07/05/2023,07-05-2023,05/07/2023,7 de maio de 2023,2023-05-07T20:32:38,1683502358,2023-05-07T20:32:38-03:00
48,2022-03-25,25/03/2022,25-03-2022,03/25/2022,25 de marco de 2022,2022-03-25T04:23:48,1648193028,2022-03-25T04:23:48-03:00
49,2021-10-23,23/10/2021,23-10-2021,10/23/2021,23 de outubro de 2021,2021-10-23T17:49:59,1635022199,2021-10-23T17:49:59-03:00
50,2025-12-12,12/12/2025,12-12-2025,12/12/2025,12 de dezembro de 2025,2025-12-12T00:38:20,1765510700,2025-12-12T00:38:20-03:00
51,2025-06-24,24/06/2025,24-06-2025,06/24/2025,24 de junho de 2025,2025-06-24T00:07:59,1750734479,2025-06-24T00:07:59-03:00
52,2024-01-26,26/01/2024,26-01-2024,01/26/2024,26 de janeiro de 2024,2024-01-26T09:15:03,1706271303,2024-01-26T09:15:03-03:00
53,2022-09-13,13/09/2022,13-09-2022,09/13/2022,13 de setembro de 2022,2022-09-13T18:05:05,1663103105,2022-09-13T18:05:05-03:00
54,2025-06-13,13/06/2025,13-06-2025,06/13/2025,13 de junho de 2025,2025-06-13T02:48:34,1749793714,2025-06-13T02:48:34-03:00
55,2021-05-30,30/05/2021,30-05-2021,05/30/2021,30 de maio de 2021,2021-05-30T04:42:30,1622360550,2021-05-30T04:42:30-03:00
56,2026-03-01,01/03/2026,01-03-2026,03/01/2026,1 de marco de 2026,2026-03-01T05:16:33,1772352993,2026-03-01T05:16:33-03:00
57,2026-10-20,20/10/2026,20-10-2026,10/20/2026,20 de outubro de 2026,2026-10-20T13:13:59,1792512839,2026-10-20T13:13:59-03:00
58,2026-01-17,17/01/2026,17-01-2026,01/17/2026,17 de janeiro de 2026,2026-01-17T23:44:12,1768704252,2026-01-17T23:44:12-03:00
59,2023-06-30,30/06/2023,30-06-2023,06/30/2023,30 de junho de 2023,2023-06-30T12:42:41,1688139761,2023-06-30T12:42:41-03:00
60,2024-03-09,09/03/2024,09-03-2024,03/09/2024,9 de marco de 2024,2024-03-09T14:57:33,1710007053,2024-03-09T14:57:33-03:00
61,2025-01-23,23/01/2025,23-01-2025,01/23/2025,23 de janeiro de 2025,2025-01-23T03:15:14,1737612914,2025-01-23T03:15:14-03:00
