id,int_pequeno,int_medio,int_grande,decimal_2,decimal_quantizado,decimal_alta_precisao,percentual,notacao_e,com_negativo,com_zeros_dominantes
1,25,226802,1737015000,711.56,0.04,3.14159265,85,1.5e-3,711.56,0
2,38,89814,1737101400,121.65,0.09,2.71828183,72,2.3e2,-283.84,0
3,28,336951,1737194100,7498.12,0.10,1.41421356,99,1.0e0,4192.40,0
4,44,160323,1737448200,2866.83,0.07,1.73205081,42,5.5e-1,-50.00,0
5,18,103497,1737648000,794.47,0.02,2.23606798,15,7.7e-2,7688,7688
6,34,198693,1738400400,7638.57,0.06,3.14159265,68,1.5e-3,0,0
7,29,227026,1739563200,9561.95,0.08,2.71828183,55,2.3e2,3103,3103
8,63,104626,1740783540,6819.74,0.05,1.41421356,90,1.0e0,0,0
9,24,369667,1740819600,8324.07,0.00,1.73205081,33,5.5e-1,0,0
10,55,104996,1742045400,2417.32,0.03,2.23606798,77,7.7e-2,0,0
11,65,184454,1743484800,5755.94,0.04,3.14159265,12,1.5e-3,6418,6418
12,36,212465,1746896400,4032.68,0.10,2.71828183,88,2.3e2,0,0
13,26,82091,1751327999,4192.40,0.09,1.41421356,44,1.0e0,0,0
14,58,299831,1767225599,4641.08,0.02,1.73205081,66,5.5e-1,0,0
15,42,150000,1800000000,283.84,0.07,2.23606798,28,7.7e-2,0,0
16,99,9999999,2000000000,1234.56,0.06,3.14159265,99.5,1.5e-3,-9999,0
17,1,1,1000000000,0.01,0.00,0.00000001,0.1,1.0e-9,1,0
18,100,1000000,2147483647,99999.99,0.10,9.99999999,100,9.99e9,2147483647,0
19,25,226802,1737015000,711.56,0.04,3.14159265,85,1.5e-3,711.56,0
20,18,103497,1737648000,794.47,0.02,2.23606798,15,7.7e-2,7688,7688
21,nao informado,,,,,,,,,
22,,,,,,,,,,
23,25,226802,1737015000,711.56,0.04,3.14159265,85,1.5e-3,711.56,0
24,38,89814,1737101400,121.65,0.09,2.71828183,72,2.3e2,-283.84,0
25,25,226802,1737015000,711.56,0.04,3.14159265,85,1.5e-3,711.56,0
