# Mismatches variante B / D-IP-mixed:
row 6: orig='027.028.102.136' rec='27.28.102.136' status=compressible
row 9: orig='150.222.080.232' rec='150.222.80.232' status=compressible
row 12: orig='159.206.069.014' rec='159.206.69.14' status=compressible
row 13: orig='234.131.095.007' rec='234.131.95.7' status=compressible
row 14: orig='163.071.013.254' rec='163.71.13.254' status=compressible
row 16: orig='002.169.238.079' rec='2.169.238.79' status=compressible
row 17: orig='202.015.242.080' rec='202.15.242.80' status=compressible
row 22: orig='068.130.244.119' rec='68.130.244.119' status=compressible
row 23: orig='015.031.245.205' rec='15.31.245.205' status=compressible
row 28: orig='192.203.101.038' rec='192.203.101.38' status=compressible
row 32: orig='223.046.113.230' rec='223.46.113.230' status=compressible
row 33: orig='049.020.158.225' rec='49.20.158.225' status=compressible
row 36: orig='073.152.191.005' rec='73.152.191.5' status=compressible
row 37: orig='222.050.051.227' rec='222.50.51.227' status=compressible
row 42: orig='101.227.065.047' rec='101.227.65.47' status=compressible
row 43: orig='250.072.137.212' rec='250.72.137.212' status=compressible
row 45: orig='199.121.147.024' rec='199.121.147.24' status=compressible
row 46: orig='031.151.104.016' rec='31.151.104.16' status=compressible
row 48: orig='053.037.175.087' rec='53.37.175.87' status=compressible
row 49: orig='227.194.063.129' rec='227.194.63.129' status=compressible
row 51: orig='092.139.158.173' rec='92.139.158.173' status=compressible
row 52: orig='038.076.018.189' rec='38.76.18.189' status=compressible
row 53: orig='004.055.220.068' rec='4.55.220.68' status=compressible
row 55: orig='160.088.235.175' rec='160.88.235.175' status=compressible
row 61: orig='183.054.148.154' rec='183.54.148.154' status=compressible
row 62: orig='025.133.194.167' rec='25.133.194.167' status=compressible
row 64: orig='009.185.158.092' rec='9.185.158.92' status=compressible
row 68: orig='098.097.229.071' rec='98.97.229.71' status=compressible
row 71: orig='137.209.010.004' rec='137.209.10.4' status=compressible
row 74: orig='188.085.058.083' rec='188.85.58.83' status=compressible
row 75: orig='250.076.228.247' rec='250.76.228.247' status=compressible
row 76: orig='213.015.254.148' rec='213.15.254.148' status=compressible
row 78: orig='111.119.013.101' rec='111.119.13.101' status=compressible
row 79: orig='244.058.033.205' rec='244.58.33.205' status=compressible
row 81: orig='084.071.105.105' rec='84.71.105.105' status=compressible
row 82: orig='127.081.167.160' rec='127.81.167.160' status=compressible
row 86: orig='153.073.237.029' rec='153.73.237.29' status=compressible
row 87: orig='099.151.116.184' rec='99.151.116.184' status=compressible
