# Sub-exp 09 (padded-aware) Variante B | D-IP-corrupt
# RT_ALL=True | rt_ok=1000/1000 | mismatched=0
# cadence_detected=False | seq_rle_runs=0
# Status counts: {'compressible': 956, 'format_mismatch': 27, 'range_invalid': 17}
# Primeiras 15: ' ' = OK, '!' = MISMATCH
  orig='57.12.140.125'  rec='57.12.140.125'
  orig='52,44,216,16'  rec='52,44,216,16'
  orig='111.119.13.101'  rec='111.119.13.101'
  orig='214.112.229.142'  rec='214.112.229.142'
  orig='3.81.216.174'  rec='3.81.216.174'
  orig='110.172.52.47'  rec='110.172.52.47'
  orig='183.176.135.22'  rec='183.176.135.22'
  orig='63.193.40.150'  rec='63.193.40.150'
  orig='185.98.35.23'  rec='185.98.35.23'
  orig='148.40.119.51'  rec='148.40.119.51'
  orig='232.186.83.189'  rec='232.186.83.189'
  orig='136.36.87.125'  rec='136.36.87.125'
  orig='194.138.112.166'  rec='194.138.112.166'
  orig='28.117.16.161'  rec='28.117.16.161'
  orig='33.108.161.108'  rec='33.108.161.108'
